Class,Q,A
Definition,What is Alzheimer's disease?,"Alzheimer's disease is a progressive neurological disorder characterized by memory loss, cognitive decline, and personality changes."
Cause,What causes hypertension?,"Hypertension, or high blood pressure, can be caused by genetic factors, lifestyle factors such as a high-salt diet, obesity, lack of physical activity, and certain medical conditions."
Symptom,What are common symptoms of diabetes?,"Common symptoms of diabetes include frequent urination, excessive thirst, extreme hunger, unexplained weight loss, and fatigue."
Treatment,How is asthma typically treated?,"Asthma is typically treated with inhalers that deliver medication directly to the lungs to help open the airways, as well as oral medications to control inflammation."
Prognosis,What is the prognosis for individuals diagnosed with early-stage breast cancer?,"Individuals diagnosed with early-stage breast cancer often have a favorable prognosis, especially when the cancer is detected early and treated promptly. Survival rates vary based on several factors, including the cancer's specific characteristics and response to treatment."
Diagnosis,How is rheumatoid arthritis diagnosed?,"Rheumatoid arthritis is diagnosed through a combination of physical examinations, blood tests for markers of inflammation and autoimmune activity, and imaging tests to assess joint damage."
Prevention,What are effective prevention strategies for heart disease?,"Effective prevention strategies for heart disease include maintaining a healthy diet, regular physical activity, avoiding tobacco use, managing stress, and regular medical checkups to monitor risk factors."
Definition,What is an aortic aneurysm?,"An aortic aneurysm is a bulge or dilation in the wall of the aorta, the largest artery in the body, which can lead to life-threatening bleeding if it ruptures."
Cause,What causes migraines?,"The exact cause of migraines is unknown, but they are believed to result from abnormal brain activity affecting nerve signals, chemicals, and blood vessels in the brain."
Symptom,What are the signs of dehydration?,"Signs of dehydration include thirst, dry mouth, decreased urine output, dark-colored urine, fatigue, dizziness, and confusion."
Definition,What is osteoporosis?,"Osteoporosis is a condition characterized by weakened bones, making them fragile and more likely to break."
Cause,What causes common cold?,"The common cold is caused by viruses, with the rhinovirus being the most common culprit."
Symptom,What are the symptoms of influenza?,"Symptoms include fever, cough, sore throat, runny or stuffy nose, muscle or body aches, headaches, and fatigue."
Treatment,How is type 2 diabetes managed?,"Management includes lifestyle changes, monitoring blood sugar levels, oral medications, and possibly insulin therapy."
Prognosis,What is the outlook for someone with early-stage kidney disease?,"With proper management, including medication and lifestyle changes, individuals can slow the progression and live with the disease."
Diagnosis,What tests diagnose high cholesterol?,"Blood tests, specifically a lipid panel, are used to diagnose high cholesterol."
Prevention,How can heart disease be prevented?,"Prevention includes eating a healthy diet, regular exercise, avoiding smoking, and controlling blood pressure and cholesterol levels."
Definition,What is bipolar disorder?,"Bipolar disorder is a mental health condition characterized by extreme mood swings, including emotional highs (mania) and lows (depression)."
Cause,What causes asthma attacks?,"Asthma attacks can be triggered by allergens, exercise, cold air, stress, or respiratory infections."
Symptom,What are signs of dehydration in infants?,"Signs include no wet diapers for 3 hours or more, sunken eyes, dry mouth, and crying without tears."
Treatment,What are common treatments for depression?,"Treatments include medications (antidepressants), psychotherapy, lifestyle changes, and sometimes electroconvulsive therapy for severe cases."
Prognosis,What is the prognosis for individuals with rheumatoid arthritis?,"While there's no cure, effective treatments can greatly reduce symptoms and improve quality of life."
Diagnosis,How is Alzheimer's disease diagnosed?,"Diagnosis involves a detailed medical history, physical examination, neurological tests, and sometimes brain imaging to rule out other conditions."
Prevention,How can one reduce the risk of developing osteoporosis?,"Reducing risk can be achieved through adequate intake of calcium and vitamin D, regular weight-bearing exercise, and avoiding tobacco and excessive alcohol."
Definition,What is celiac disease?,Celiac disease is an autoimmune disorder where the ingestion of gluten leads to damage in the small intestine.
Definition,What is melanoma?,"Melanoma is a type of skin cancer that develops from melanocytes, the cells that produce pigment and give skin its color."
Cause,What causes peptic ulcers?,"Peptic ulcers are caused by the bacterium Helicobacter pylori or long-term use of nonsteroidal anti-inflammatory drugs (NSAIDs), like ibuprofen."
Symptom,What are the early signs of Parkinson's disease?,"Early signs include tremors, slowed movement (bradykinesia), rigid muscles, impaired posture and balance, and changes in speech and writing."
Treatment,How is chronic kidney disease (CKD) treated?,"Treatment focuses on controlling the underlying causes, like hypertension and diabetes, through medication, alongside dietary changes and, in advanced stages, dialysis or transplant."
Prognosis,What is the prognosis for someone with epilepsy?,"Many individuals with epilepsy can manage their seizures effectively using medication or surgery, leading to a good prognosis with normal or near-normal life expectancy."
